gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
RIC1,1664.2452234322514,0.00604370767289601,0.03370181621951022,0.6456472135987508,0.9486467207878554
TUB2,23276.036262394035,0.0089132117142791,0.03136779687975882,0.6880216286513765,0.9580876857659256
CMP1,2671.129817333882,-0.01218322178891044,0.03822909101065033,0.18886117133277067,0.84788342586634
SPE1,3165.872608635118,-0.00459591015135706,0.03568881462204704,0.6105265266516879,0.9447633797498156
VPS27,3000.1853319919906,-0.01696110101890042,0.03679611537492711,0.28972276009600956,0.8667626101789684
ROT1,1947.8676374011836,0.01792626978968957,0.03771115258051459,0.24145566519463327,0.8590471944165708
HGC1,267.6388919270574,-0.00634688253485461,0.0359079306309202,0.5076660832662706,0.9257677588611768
ERG2,3580.4536050307916,0.85685815596219,0.14979600946164623,4.5793299302263373e-10,1.2487000114285365e-7
ALG13,661.8727984141353,0.7095884737589262,0.11874128835263278,9.986335226703182e-11,3.15305394868381e-8
NRM1,3794.4421865804634,-0.0237780320220801,0.04586266361586052,0.05319767938423699,0.7732988153297525
IHD2,308.08345403241003,-1.8982607579956436e-4,0.03471451696596476,0.9851648984924318,0.9992571919699984
ATG3,285.53017740736954,0.00780027119954773,0.03549230220304225,0.48817657868659625,0.9183534342072396
LRO1,3754.3236188740416,0.01750529377722291,0.03670104992161704,0.337741413289485,0.8851510433917084
GEM1,1377.5565607745964,-0.00144514065229821,0.03360288035517292,0.886683116249889,0.9848885437205792
RRS1,3111.858749502531,0.02010927588079314,0.039615336763637,0.09609822769844276,0.8299763466711794
TRI1,602.03715855116,-0.00249079227507317,0.03426392735806099,0.8357463242629074,0.9807746425044622
SIN3,18776.28477284498,-0.06836389478607513,0.08202475242965317,0.02359663712093725,0.6327434384509478
RPB11,1843.675787246047,0.04307797120161175,0.05489880121391424,0.05776335141146577,0.7732988153297525
CDC5,12090.07314250615,-0.07073160041594874,0.06178402114644095,0.02521596638674948,0.6464554801457697
SET1,4011.344371898888,0.00257321252157495,0.03381025051046984,0.8431578350446564,0.9822012554808112
NMA111,10868.560071396469,-0.00726747934305641,0.03413478732315233,0.6395478280514085,0.947645915538335
ORC6,1588.868238611211,-0.0255206996001367,0.04271338295478223,0.1361524964613435,0.8465172436832317
HMT1,6623.763359107951,-2.604658289933829e-4,0.03396271963482358,0.9990991013574728,0.9995989841633556
TSC13,5061.828637268049,0.00683404026941319,0.03017931386697586,0.6595649680579088,0.951993488593472
MBF1,14417.900677736194,2.808354402928148e-4,0.0341543712031224,0.7446141877183476,0.9693174089352568
KRP1,1556.9207216424888,0.00463961022882961,0.03248060871544328,0.7578112184879897,0.9720335922088416
CCH1,8838.378732206898,-0.0120833085368501,0.02880203075319305,0.3428418919396331,0.8895798052533992
ZPR1,12251.63526662035,-0.00857428348467192,0.0244556316819754,0.6276933591061528,0.9465904296352216
GAC1,2239.431502587101,-0.00531647220942903,0.03608633609016869,0.5674516912186065,0.9366806082316066
PPM2,3615.526166861797,0.00606835461560972,0.03143588704495156,0.7961524350225587,0.9783118512290722
ZCF17,3105.6384612735073,-0.01540848092061221,0.03255525213582556,0.41354389291354665,0.8984719591303035
STB5,1575.0076524367414,-0.00827850079451366,0.03464846031600743,0.5819483474977575,0.9390837030210156
IFD3,265.7516668471447,0.0010550761058317,0.03446611956671461,0.9249075609923434,0.9912626375650916
AIM9,5830.897247110671,-0.00452966244629208,0.03301452835326518,0.7764608939275325,0.9748396001412662
TRS20,425.4188324009912,-0.00318586409850164,0.03441843519825554,0.7867077684239951,0.9750950212346172
CTA9,1266.4900257421089,-0.00643508507807801,0.03482650669583782,0.6118317268515195,0.9447633797498156
SRB6,191.7746351918486,0.0060188366611141,0.03532363758520983,0.5830485856081858,0.9390837030210156
MRS7,11183.374403491607,-0.00492674350447155,0.03128454025529815,0.7644064123598642,0.9728545284571986
DUT1,2962.722896042322,0.00703682266936352,0.03495679760109325,0.5731540106834043,0.9374453724356508
TIF1,51323.687544093955,-0.01374039481915653,0.03867954030170437,0.1764799487610731,0.84788342586634
RPS21B,32081.045036107367,0.00661517908102719,0.03571805655851037,0.5221044471827254,0.9298002242173898
TRM2,3524.9310485841997,4.823793040315168e-4,0.03264576185846866,0.9935837958278876,0.9992571919699984
HOT1,1294.8685639390217,-0.01822220624147413,0.04170057582869578,0.07020396930745557,0.7939576646694817
CRL1,1813.3435517139967,0.0050235372658335,0.03416087277198774,0.6966926119591135,0.9589720598846504
POX18,18.736377945719443,-0.00470736072403622,0.03673322412267526,0.24044884651021847,0.8590471944165708
ABC1,7157.659233976605,-0.0098871150964396,0.03490790422573411,0.4525493940956376,0.903593008115074
RPS21,164083.1597800049,0.00453679615857063,0.03387302180413832,0.7342621756244088,0.968577147115462
SOD2,6076.717503636913,-0.02693082477220943,0.04517265335972,0.10496266240664492,0.8366082628303183
VPS17,1676.690082780008,0.01407918135141383,0.03464631133228466,0.3853222638911256,0.8923716317195922
SIZ1,9628.611447306115,-0.01923405412411673,0.04245600805613191,0.11797132758030408,0.8465172436832317
